accountID;installationID;nationalAdministrator;accountType;accountHolderName
110800;205570;Croatia;100-Holding Account;Holcim (Hrvatska) d.o.o.
105600;4118;Germany;100-Holding Account;I. van Roje & Sohn Sägewerk und Holzhandlung GmbH & Co. KG
95200;300;France;100-Holding Account;Mont-Saint-Aignan Energie Verte- MAEV
100401;627;Finland;100-Holding Account;Vapo Oy
110801;205574;France;100-Holding Account;SINIAT
100402;628;Finland;100-Holding Account;Haapajärven Lämpö Oy
95201;1109;France;100-Holding Account;EDF SA
110802;205567;Italy;100-Holding Account;Laterizi Fauci Produzione srl
100403;629;Finland;100-Holding Account;Loimua Oy
95202;1108;France;100-Holding Account;EDF SA
105604;571;Germany;100-Holding Account;FS-Karton GmbH
100404;630;Finland;100-Holding Account;Kuopion Energia Oy
110803;205575;France;100-Holding Account;SINIAT
95203;299;France;100-Holding Account;OMNOVA SOLUTIONS SAS
100405;631;Finland;100-Holding Account;Höyrytys Oy
110804;205576;France;100-Holding Account;SINIAT
95204;100;France;100-Holding Account;CELSA FRANCE
105606;846;Germany;100-Holding Account;Sales & Solutions GmbH
100406;632;Finland;100-Holding Account;Porin Prosessivoima Oy
95205;298;France;100-Holding Account;ZIGNAGO VETRO BROSSE SAS
110805;205577;Spain;100-Holding Account;INOVYN ESPAÑA, S.L.
105608;332;Germany;100-Holding Account;Wienerberger GmbH
95206;297;France;100-Holding Account;DS SMITH PAPER ROUEN
110807;205578;France;100-Holding Account;SINIAT
95207;1107;France;100-Holding Account;ALBIOMA LE MOULE
110808;205579;France;100-Holding Account;SINIAT
95208;1106;France;100-Holding Account;SVD 17
100411;633;Finland;100-Holding Account;Vantaan Energia Oy
105612;572;Germany;100-Holding Account;Sprick GmbH Bielefelder Papier- und Wellpappenwerke & Co.
110809;205580;France;100-Holding Account;SINIAT
95209;296;France;100-Holding Account;LANXESS ELASTOMERES
110810;205234;United Kingdom;100-Holding Account;CA Inc
100412;634;Finland;100-Holding Account;Oulun Energia Oy
105613;847;Germany;100-Holding Account;Mainzer Stadtwerke AG
95210;295;France;100-Holding Account;SAINT LOUIS SUCRE SA
110811;205064;Germany;100-Holding Account;MTU Maintenance Berlin-Brandenburg GmbH
100413;635;Finland;100-Holding Account;Sarlin Oy
95211;1105;France;100-Holding Account;OCV CHAMBERY FRANCE
105614;333;Germany;100-Holding Account;Wienerberger GmbH
110812;205063;Germany;100-Holding Account;MTU Maintenance Berlin-Brandenburg GmbH
100414;636;Finland;100-Holding Account;Kaukaan Voima Oy
95212;20;France;100-Holding Account;Soissons Energies & Environnement
105616;2296;Germany;100-Holding Account;SWK Stadtwerke Kaiserslautern Versorgungs-AG
100415;637;Finland;100-Holding Account;Fortum Power and Heat Oy
110813;205065;Germany;100-Holding Account;MTU Maintenance Berlin-Brandenburg GmbH
95213;1104;France;100-Holding Account;SAFRAN LANDING SYSTEMS
105617;2298;Germany;100-Holding Account;BASF SE
110814;205584;France;100-Holding Account;PAREFEUILLE PROVENCE
100416;638;Finland;100-Holding Account;Mariehamns Energi Ab
95215;1103;France;100-Holding Account;BOUYER LEROUX
105618;2299;Germany;100-Holding Account;BASF SE
110815;205343;Germany;100-Holding Account;KDW Klinkerdachziegelwerk GmbH & Co. KG
100417;639;Finland;100-Holding Account;Keravan Lämpövoima Oy
95216;854;France;100-Holding Account;COGELYO NORD EST
110816;205588;France;100-Holding Account;UNION INVIVO
105619;848;Germany;100-Holding Account;Stadtwerke Schneeberg GmbH
100418;640;Finland;100-Holding Account;Loimua Oy
110817;205589;France;100-Holding Account;UNION INVIVO
95217;130;France;100-Holding Account;DUSSOUS
100419;641;Finland;100-Holding Account;Helen Oy
105621;2397;Germany;100-Holding Account;Salzgitter Flachstahl GmbH
110818;205590;France;100-Holding Account;UNION INVIVO
95218;294;France;100-Holding Account;BOREALIS CHIMIE SAS
100420;642;Finland;100-Holding Account;Raseborgs Energi Ab
90030;200021;Cyprus;100-Holding Account;Cyprus Airways Public Ltd
95219;853;France;100-Holding Account;CENTRE HOSPITALIER DE MULHOUSE
105623;849;Germany;100-Holding Account;Peißenberger Kraftwerksgesellschaft mit beschränkter Haftung
100421;643;Finland;100-Holding Account;Jyväskylän Voima Oy
110820;205587;Italy;100-Holding Account;Ofar Spa
110821;205003;Germany;100-Holding Account;Vallourec Deutschland GmbH
95220;1102;France;100-Holding Account;DALKIA
105624;4116;Germany;100-Holding Account;STEAG New Energies GmbH
100423;644;Finland;100-Holding Account;Porvoon Energia Oy-Borgå Energi Ab
110822;205269;Germany;100-Holding Account;Vallourec Deutschland GmbH
105625;334;Germany;100-Holding Account;Wienerberger GmbH
95221;852;France;100-Holding Account;DALKIA
100424;645;Finland;100-Holding Account;Pansion Lämpö Avoin Yhtiö
110823;205356;Germany;100-Holding Account;Vallourec Deutschland GmbH
95222;851;France;100-Holding Account;WIENERBERGER
105627;4121;Germany;100-Holding Account;Technische Werke Coswig GmbH
100425;646;Finland;100-Holding Account;Oy Turku Energia Åbo Energi Ab
110824;205361;Germany;100-Holding Account;Vallourec Deutschland GmbH
95224;850;France;100-Holding Account;COGERI
110825;205355;Germany;100-Holding Account;Vallourec Deutschland GmbH
105629;850;Germany;100-Holding Account;Lufthansa Technik AG
95225;293;France;100-Holding Account;SOCIETE CHIMIQUE DE OISSEL
100428;649;Finland;100-Holding Account;Haukiputaan Energia Oy
110826;205168;Portugal;100-Holding Account;Cerdomus - Indústrias Cerâmicas, SA
95226;292;France;100-Holding Account;HOLOPHANE
100429;650;Finland;100-Holding Account;Napapiirin Energia ja Vesi Oy
110828;205324;Italy;100-Holding Account;HEINZ ITALIA S.p.A.
105632;335;Germany;100-Holding Account;Wienerberger GmbH
95227;1101;France;100-Holding Account;CARRIERES ET CHAUX BALTHAZARD ET COTTE
100430;647;Finland;100-Holding Account;Etelä-Savon Energia Oy
110829;205611;Netherlands;100-Holding Account;Grasdrogerij Hartog B.V.
95228;849;France;100-Holding Account;CHALEUR HAUTEPIERRE
105633;851;Germany;100-Holding Account;STEAG GmbH
110830;205612;France;100-Holding Account;KERVALIS
95229;848;France;100-Holding Account;SOCIETE INDUSTRIELLE  DE  LEVURE FALA (SILFALA)
110831;205610;United Kingdom;100-Holding Account;Green Bay Packaging Inc.
100434;651;Finland;100-Holding Account;Fortum Power and Heat Oy
95230;1100;France;100-Holding Account;ISERGIE
90050;200040;Latvia;100-Holding Account;Smartlynx Airlines
110832;205169;Portugal;100-Holding Account;Sanindusa - Indústria de Sanitários, S.A.
95231;847;France;100-Holding Account;Holcim Haut Rhin
100435;652;Finland;100-Holding Account;Nivalan Kaukolämpö Oy -
105638;336;Germany;100-Holding Account;Wienerberger GmbH
95232;291;France;100-Holding Account;MADRILLET ENERGIE
110833;205614;France;100-Holding Account;BERNARD PRODUCTIONS VEGETALES
105639;852;Germany;100-Holding Account;STEAG GmbH
100437;653;Finland;100-Holding Account;Mariehamns Energi Ab
95233;1097;France;100-Holding Account;TOURS HABITAT
110834;205591;Italy;100-Holding Account;ORSA SRL
100438;654;Finland;100-Holding Account;Mariehamns Bioenergi Ab
110835;205617;Belgium;100-Holding Account;Unilin Resins
95234;290;France;100-Holding Account;ESSITY OPERATIONS FRANCE
105642;574;Germany;100-Holding Account;Papierfabrik am Neckar GmbH & Co. KG
110836;205429;Italy;100-Holding Account;COLUMBUS SRL
100439;655;Finland;100-Holding Account;Loimaan Kaukolämpö Oy
95235;1096;France;100-Holding Account;GRTGAZ
110837;205592;Italy;100-Holding Account;Metinvest Trametal S.p.A.
95236;74;France;100-Holding Account;ORION ENGINEERED CARBONS
105644;337;Germany;100-Holding Account;Wienerberger GmbH
100441;656;Finland;100-Holding Account;Keuruun Lämpövoima Oy
110838;205619;Denmark;100-Holding Account;Aarhus Kommune
95237;289;France;100-Holding Account;LAVERGNE
105645;853;Germany;100-Holding Account;SPIE Energy Solutions GmbH
100442;657;Finland;100-Holding Account;Varkauden Aluelämpö Oy
95238;288;France;100-Holding Account;LUBRIZOL FRANCE SAS
100443;658;Finland;100-Holding Account;Seinäjoen Energia Oy
105647;854;Germany;100-Holding Account;Stadtwerke Münster GmbH
95239;846;France;100-Holding Account;EURO TF
110841;205490;Czech Republic;100-Holding Account;Slévárny Třinec, a.s.
100444;659;Finland;100-Holding Account;Rovaniemen koulutuskuntayhtymä
95240;99;France;100-Holding Account;TEREGA
110842;205547;Italy;100-Holding Account;SAINT GOBAIN PPC ITALIA SpA
105649;575;Germany;100-Holding Account;Steinbeis Papier GmbH
95241;287;France;100-Holding Account;DA ALIZAY SAS
110843;205548;Italy;100-Holding Account;SAINT GOBAIN PPC ITALIA SpA
100447;660;Finland;100-Holding Account;Lahti Energia Oy
95242;845;France;100-Holding Account;HEINEKEN ENTREPRISE SAS
100448;661;Finland;100-Holding Account;Kuusamon energia- ja vesiosuuskunta
110844;205545;Italy;100-Holding Account;O.R.I. MARTIN S.P.A.
105652;338;Germany;100-Holding Account;ERLUS Aktiengesellschaft
110845;205620;France;100-Holding Account;SIDEFO
90070;200081;Latvia;100-Holding Account;A/S "AirBaltic Corporation"
105653;855;Germany;100-Holding Account;STEAG Power Saar GmbH
95244;1095;France;100-Holding Account;SWISS KRONO SAS
110846;205573;Italy;100-Holding Account;TRAFILERIE CARLO GNUTTI S.p.A.
105654;4107;Germany;100-Holding Account;MVV Enamic Korbach GmbH
100451;662;Finland;100-Holding Account;Hämeenkyrön Voima Oy
110847;205605;Italy;100-Holding Account;Portovesme srl
95246;1094;France;100-Holding Account;SVD 17
105655;339;Germany;100-Holding Account;Hörl & Hartmann Ziegeltechnik GmbH & Co. KG
95247;844;France;100-Holding Account;RHODIA OPERATIONS
110849;205622;Spain;100-Holding Account;Cicogres, S.A.
100453;663;Finland;100-Holding Account;Lohjan Biolämpö Oy
105657;4123;Germany;100-Holding Account;Neue Kalk GmbH & Co. KG
95248;286;France;100-Holding Account;NESTLE FRANCE SAS
105658;4120;Germany;100-Holding Account;Erlanger Stadtwerke Aktiengesellschaft
110851;205246;Germany;100-Holding Account;Covestro Deutschland AG
95249;843;France;100-Holding Account;LIFETEX
100456;418;Finland;100-Holding Account;Kotkan Energia Oy
105659;856;Germany;100-Holding Account;Peißenberger Wärmegesellschaft  mbH
110852;205102;Portugal;100-Holding Account;Primus Vitória - Azulejos, S.A.
95250;1093;France;100-Holding Account;SNC HUTCHINSON
100457;388;Finland;100-Holding Account;Ahlstrom Glassfibre Oy
105660;576;Germany;100-Holding Account;Dr. Lippke und Dr. Wagner GmbH
110853;205625;Denmark;100-Holding Account;FJERNVARME FYN PRODUKTION A/S
100458;419;Finland;100-Holding Account;Kauttua Paper Mill Oy
95251;285;France;100-Holding Account;EXXONMOBIL CHEMICAL FRANCE
105662;340;Germany;100-Holding Account;Hart Keramik AG
100459;448;Finland;100-Holding Account;Suomen Teollisuuden Energiapalvelut STEP Oy
110855;205624;Italy;100-Holding Account;GRANITIFIANDRE SPA
95252;842;France;100-Holding Account;BLUE PAPER SAS
100460;449;Finland;100-Holding Account;Altia Oyj
110856;205633;Spain;100-Holding Account;Dual Gres, S.A.
105664;857;Germany;100-Holding Account;EnBW Kernkraft GmbH
95253;841;France;100-Holding Account;BRIQUETERIE DE ROUFFACH
100461;450;Finland;100-Holding Account;Lantmännen Feed Oy
110857;205541;Italy;100-Holding Account;OTTANA POLIMERI SRL
100462;451;Finland;100-Holding Account;Nevel Oy
105665;578;Germany;100-Holding Account;A. Obenauf GmbH & Co. KG
95255;840;France;100-Holding Account;CRISTAL UNION
110858;205565;Italy;100-Holding Account;GRAL Industriale srl
105666;341;Germany;100-Holding Account;ARGELITH Bodenkeramik H. Bitter GmbH
100463;452;Finland;100-Holding Account;Hexion Oy
95256;1092;France;100-Holding Account;DESCARTES ENERGIES
110859;205635;France;100-Holding Account;LUZEAL
105667;2494;Germany;100-Holding Account;Salzgitter Flachstahl GmbH
100464;394;Finland;100-Holding Account;Corenso United Oy Ltd
90090;200105;Cyprus;100-Holding Account;EDT Shipmanagment Ltd
95257;19;France;100-Holding Account;TEINTURES ET APPRETS DE ST QUENTIN (TASQ)
105668;2495;Germany;100-Holding Account;Salzgitter Flachstahl GmbH
100465;13;Finland;100-Holding Account;Fortum Power and Heat Oy
110861;205636;France;100-Holding Account;LUZEAL
90092;200111;France;100-Holding Account;AIR FRANCE
105669;858;Germany;100-Holding Account;WSW Energie & Wasser AG
100466;14;Finland;100-Holding Account;Savon Voima Joensuu Oy
95258;284;France;100-Holding Account;SOCIETE VALMY DEFENSE 82 - SVD 82
110862;205637;France;100-Holding Account;LUZEAL
105670;2496;Germany;100-Holding Account;Saarstahl Aktiengesellschaft
95259;839;France;100-Holding Account;VELCOREX SINCE 1828
90093;200118;Cyprus;100-Holding Account;KINGFISHER AIRLINES LTD
100467;15;Finland;100-Holding Account;Fortum Power and Heat Oy
110863;205638;France;100-Holding Account;LUZEAL
105671;2497;Germany;100-Holding Account;Klausner Holz Niedersachsen GmbH
100468;16;Finland;100-Holding Account;Fortum Power and Heat Oy
90094;200119;Cyprus;100-Holding Account;Air Executive Ltd
95260;128;France;100-Holding Account;ESSITY OPERATIONS LE THEIL
110864;205639;France;100-Holding Account;LUZEAL
105672;2498;Germany;100-Holding Account;Klausner Holz Sachsen GmbH
95261;283;France;100-Holding Account;TOYO INK EUROPE SPECIALTY CHEMICALS
100469;17;Finland;100-Holding Account;Fortum Power and Heat Oy
110865;205640;Greece;100-Holding Account;DISTRICT HEATING MUNICIPAL COMPANY OF PTOLEMAIDA
90096;200120;Bulgaria;100-Holding Account;Air Via
95262;838;France;100-Holding Account;Lana Papiers Spéciaux II SAS
105673;579;Germany;100-Holding Account;Mitsubishi HiTec Paper Europe GmbH
100470;18;Finland;100-Holding Account;Fortum Power and Heat Oy
90097;200122;Bulgaria;100-Holding Account;BH AIR
105674;2499;Germany;100-Holding Account;Ilim Nordic Timber GmbH & Co. KG
95263;282;France;100-Holding Account;CANTELEU ENERGIE
100471;19;Finland;100-Holding Account;LAKKAUTETTU Fortum Power and Heat Oy
110867;205634;Sweden;100-Holding Account;Vargön Alloys AB
90098;200121;France;100-Holding Account;HOP - BRITAIR
95264;837;France;100-Holding Account;TEREOS STARCH & SWEETENERS EUROPE
100472;20;Finland;100-Holding Account;Savon Voima Joensuu Oy
105676;859;Germany;100-Holding Account;e.distherm Wärmedienstleistungen GmbH
