,Date,Time,Auction Name,Contract,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,Certificate,Austria,Luxembourg,Latvia,Malta,Netherlands,Portugal,Romania,Sweden,Slovenia,Lithuania,Italy,Bulgaria,Cyprus,Denmark,Greece,Spain,Finland,France,Hungary,Slovakia,Ireland,Belgium,Czech Republic,Estonia,Croatia,Germany,Poland,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Iceland,Liechtenstein,Norway,"Innovation
Fund",Austria (volume),Belgium (volume),Bulgaria (volume),Croatia (volume),Cyprus (volume),Czech Republic (volume),Denmark (volume),Estonia (volume),Finland (volume),France (volume),Germany (volume),Greece (volume),Hungary (volume),Iceland (volume),Ireland (volume),Italy (volume),Latvia (volume),Liechtenstein (volume),Lithuania (volume),Luxembourg (volume),Malta (volume),Netherlands (volume),Norway (volume),Poland (volume),Portugal (volume),Romania (volume),Slovakia (volume),Slovenia (volume),Spain (volume),Sweden (volume)
0,2012-12-18 00:00:00,2012-12-18 15:00:38,EU,T3PA,6.45,4.8,8.0,6.32,6.37,5584500,13431000.0,2.41,13.0,9.0,36020025.0,EU,,941700.0,93525.0,161250.0,83850.0,,1496400.0,3470100.0,619200.0,322500.0,,6669300.0,1915650.0,219300.0,1067475.0,2967000.0,5966250.0,1128750.0,3766800.0,,1064250.0,,,,,,,,,,,,,,,,,,,,146000.0,,297000.0,,34000.0,,165500.0,,175000.0,584000.0,,460000.0,,,,1034000.0,25000.0,,,14500.0,13000.0,,,,232000.0,538000.0,165000.0,50000.0,925000.0,96000.0
1,2012-12-17 00:00:00,2012-12-17 15:00:30,HU,T2PA,6.29,6.16,6.45,6.29,6.29,1250000,2217000.0,1.77,8.0,8.0,7862500.0,HU,,,,,,,,,,,,,,,,,,,,7862500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,,,,,,,,,,,,,,,,,
2,2012-12-14 00:00:00,2012-12-14 11:00:31,DE,T3PA,6.57,6.3,6.7,6.5,6.51,2531000,5805000.0,2.29,10.0,7.0,16628670.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,16628670.0,,,,,,,,,,,,,,,,,,,,,,,,2531000.0,,,,,,,,,,,,,,,,,,,
3,2012-12-13 00:00:00,2012-12-13 15:00:38,EU,T3PA,6.55,6.0,6.85,6.51,6.53,5515500,13828000.0,2.51,11.0,9.0,36126525.0,EU,,975950.0,108075.0,189950.0,91700.0,,1539250.0,3497700.0,622250.0,307850.0,,6739950.0,1951900.0,229250.0,,3039200.0,6039100.0,1172450.0,3831750.0,,1074200.0,,,,,,,,,,,,,,,,,,,,149000.0,,298000.0,,35000.0,,,,179000.0,585000.0,,464000.0,,,,1029000.0,29000.0,,,16500.0,14000.0,,,,235000.0,534000.0,164000.0,47000.0,922000.0,95000.0
4,2012-12-11 00:00:00,2012-12-11 15:00:45,EU,T3PA,6.91,4.5,7.25,6.86,6.91,5515500,15389000.0,2.79,13.0,9.0,38112105.0,EU,,1029590.0,114015.0,200390.0,96740.0,,1623850.0,3689940.0,656450.0,324770.0,,7110390.0,2059180.0,241850.0,,3206240.0,6371020.0,1236890.0,4042350.0,,1133240.0,,,,,,,,,,,,,,,,,,,,149000.0,,298000.0,,35000.0,,,,179000.0,585000.0,,464000.0,,,,1029000.0,29000.0,,,16500.0,14000.0,,,,235000.0,534000.0,164000.0,47000.0,922000.0,95000.0
5,2012-12-10 00:00:00,2012-12-10 15:00:32,HU,T2PA,6.63,6.35,6.7,6.53,6.55,1250000,7018000.0,5.61,14.0,6.0,8287500.0,HU,,,,,,,,,,,,,,,,,,,,8287500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,,,,,,,,,,,,,,,,,
6,2012-12-07 00:00:00,2012-12-07 11:01:02,DE,T3PA,6.42,4.0,6.5,6.22,6.28,3000000,10521000.0,3.51,12.0,5.0,19260000.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,19260000.0,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,
7,2012-12-06 00:00:00,2012-12-06 15:00:33,EU,T3PA,6.3,4.0,7.0,6.12,6.15,5301500,11846000.0,2.23,14.0,7.0,33399450.0,EU,,938700.0,103950.0,182700.0,,,1480500.0,3364200.0,598500.0,296100.0,,6482700.0,1877400.0,220500.0,,2923200.0,5808600.0,1127700.0,3685500.0,,1033200.0,,,,,,,,,,,,,,,,,,,,149000.0,,298000.0,,35000.0,,,,179000.0,585000.0,,464000.0,,,,1029000.0,29000.0,,,16500.0,,,,,235000.0,534000.0,164000.0,47000.0,922000.0,95000.0
8,2012-12-04 00:00:00,2012-12-04 15:00:33,EU,T3PA,5.82,4.4,8.0,5.78,5.75,5301500,9951500.0,1.88,14.0,8.0,30854730.0,EU,,867180.0,96030.0,168780.0,,,1367700.0,3107880.0,552900.0,273540.0,,5988780.0,1734360.0,203700.0,,2700480.0,5366040.0,1041780.0,3404700.0,,954480.0,,,,,,,,,,,,,,,,,,,,149000.0,,298000.0,,35000.0,,,,179000.0,585000.0,,464000.0,,,,1029000.0,29000.0,,,16500.0,,,,,235000.0,534000.0,164000.0,47000.0,922000.0,95000.0
9,2012-11-30 00:00:00,2012-11-30 11:00:46,DE,T3PA,6.23,4.0,6.45,6.05,6.1,3000000,7793000.0,2.6,13.0,7.0,18690000.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,18690000.0,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,
