accountID;installationID;installationName;mainActivity
110800;205570;Holcim (Hrvatska) d.o.o.;29-Production of cement clinker
105600;4118;Heizwerk Oberhonnefeld;20-Combustion of fuels
95200;300;Mont Saint Aignan Energie Verte MAEV;20-Combustion of fuels
100401;627;Vuokatin siirrettävä lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110801;205574;SINIAT AUNEUIL;20-Combustion of fuels
100402;628;Rantakadun lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95201;1109;EDF - St barthélémy;20-Combustion of fuels
110802;205567;Laterizi Fauci S.p.A. Stabilimento di Sciacca (AG);32-Manufacture of ceramics
100403;629;Vuohkallion (ABC) lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95202;1108;EDF - Jarry Sud;20-Combustion of fuels
105604;571;Kartonmaschine 5;36-Production of paper or cardboard
100404;630;Rautaniemen lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
110803;205575;SINIAT SAINT LOUBES;20-Combustion of fuels
95203;299;OMNOVA SOLUTIONS;20-Combustion of fuels
100405;631;Topinojan biokaasulaitos;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110804;205576;SINIAT CARPENTRAS;20-Combustion of fuels
95204;100;CELSA FRANCE;5-Installations for the production of pig iron or steel (primary or secondary fusion) including continuous casting
105606;846;DDA Heizkraftwerk Bomlitz;20-Combustion of fuels
100406;632;Kaanaan voimalaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
95205;298;ZIGNAGO VETRO BROSSE SAS;31-Manufacture of glass
110805;205577;INOVYN ESPAÑA, S.L.;42-Production of bulk chemicals
105608;332;Werk Zwickau;32-Manufacture of ceramics
95206;297;DS SMITH PAPER ROUEN;36-Production of paper or cardboard
110807;205578;SINIAT MAZAN;20-Combustion of fuels
95207;1107;ALBIOMA LE MOULE;20-Combustion of fuels
110808;205579;SINIAT LE PIN;20-Combustion of fuels
95208;1106;DALKIA Papeterie du Léman;1-Combustion installations with a rated thermal input exceeding 20 MW
100411;633;Lentokentän lämpökeskus;20-Combustion of fuels
105612;572;Papiermaschine;36-Production of paper or cardboard
110809;205580;SINIAT OTTMARSHEIM;20-Combustion of fuels
95209;296;LANXESS Elastomères;20-Combustion of fuels
110810;205234;37117;10-Aircraft operator activities
100412;634;Oulunsuun lämpökeskus;1-Combustion installations with a rated thermal input exceeding 20 MW
105613;847;Heizzentrale Mainz;20-Combustion of fuels
95210;295;'Sucrerie d''Etrepagny';20-Combustion of fuels
110811;205064;Prüfstandsanlage für Flugtriebwerke (Stand 4);20-Combustion of fuels
100413;635;Vaasan mikroturbiinilaitos;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95211;1105;OCV CHAMBERY FRANCE usine B - verrerie;7-Installations for the manufacture of glass including glass fibre
105614;333;Werk   Bad Neustadt;32-Manufacture of ceramics
110812;205063;Prüfstandsanlage für Industriegasturbinen (Stand 5;20-Combustion of fuels
100414;636;Kaukaan Voima Oy;1-Combustion installations with a rated thermal input exceeding 20 MW
95212;20;Chauffage urbain de Soissons- ZUP DE PRESLES;20-Combustion of fuels
105616;2296;Heizwerk West;20-Combustion of fuels
100415;637;Masalan lämpökeskus;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
110813;205065;Prüfstand für Gasturbinen und Triebwerke (Stand 8);20-Combustion of fuels
95213;1104;SAFRAN LANDING SYSTEMS - Ets de Villeurbanne;20-Combustion of fuels
105617;2298;Steamcracker 1;42-Production of bulk chemicals
110814;205584;PAREFEUILLE PROVENCE;32-Manufacture of ceramics
100416;638;Österbacka Panncentral;99-Other activity opted-in pursuant to Article 24 of Directive 2003/87/EC
95215;1103;BOUYER LEROUX - Saint Marcellin;32-Manufacture of ceramics
105618;2299;Steamcracker 2;42-Production of bulk chemicals
110815;205343;Klinkerdachziegelwerk Natrup-Hagen;32-Manufacture of ceramics
100417;639;Keravan biovoimalaitos;1-Combustion installations with a rated thermal input exceeding 20 MW
95216;854;COGELYO NE - Cogénération Lafarge Plâtre;20-Combustion of fuels
105619;848;BHKW Keilberg;1-Combustion installations with a rated thermal input exceeding 20 MW
110816;205588;UNION INVIVO BASSENS FLEUVE;20-Combustion of fuels
100418;640;Vuohkallion lämpökeskus;20-Combustion of fuels
110817;205589;UNION INVIVO BASSENS TERRE;20-Combustion of fuels
95217;130;SOLAIPA;1-Combustion installations with a rated thermal input exceeding 20 MW
100419;641;Hanasaaren lämpökeskus;20-Combustion of fuels
105621;2397;Vorwärmofen und Glühofen Feuerverzinkung 1;25-Production or processing of ferrous metals
